Gid	patient1.rep1	patient1.rep2	patient2.rep1	patient2.rep2	Ctrl.SRR10571686	Ctrl.SRR10571687	Ctrl.SRR10571696	Ctrl.SRR10571699	Ctrl.SRR10571724	Ctrl.SRR10571730	Ctrl.SRR10571732
ENSG00000223972.5	0	0	0	0	0	2	1	0	0	0	0
ENSG00000227232.5	2	0	1	0	20	34	15	19	51	32	42
ENSG00000278267.1	0	0	0	0	3	6	0	4	13	5	1
ENSG00000243485.5	0	0	0	0	0	4	0	3	1	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	1
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	0	0	0	0	1	0	1	2	0	0	1
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	3	1	8	15	1	2	0
ENSG00000268903.1	2	0	0	0	2	5	8	7	27	68	32
ENSG00000269981.1	0	0	0	0	8	8	8	13	48	161	71
ENSG00000239906.1	0	0	0	0	0	0	0	1	0	2	0
ENSG00000241860.7	1	1	0	0	25	21	53	44	18	91	25
ENSG00000222623.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	4	13	12	5	22	11	12
ENSG00000279457.4	0	0	0	2	81	112	59	25	214	125	32
ENSG00000273874.1	0	0	0	0	1	1	1	0	1	0	0
ENSG00000228463.10	2	0	4	0	20	23	24	66	26	27	42
ENSG00000286448.1	0	0	0	0	2	4	0	4	0	0	0
ENSG00000236679.2	0	0	0	0	1	1	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.12	5	0	0	0	70	83	90	111	48	96	49
ENSG00000269732.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	1	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	6	2	4	9	0	0	0
ENSG00000230021.10	0	0	4	0	12	4	11	14	7	5	5
ENSG00000235146.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	45	30	21	34	2	0	2	0	32	22	20
ENSG00000225630.1	527	265	920	456	180	140	2	136	5523	102	5063
ENSG00000237973.1	305	172	411	234	256	271	429	289	2742	2708	2696
ENSG00000278791.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344.1	10	16	14	18	12	20	21	6	41	56	31
ENSG00000240409.1	0	0	2	0	1	2	0	0	11	9	5
ENSG00000248527.1	4735	2130	4453	2200	1682	1503	815	777	19087	7406	6623
ENSG00000198744.5	16	26	14	50	4	49	28	38	112	50	53
ENSG00000268663.1	0	0	0	0	1	1	2	3	0	0	0
ENSG00000284662.1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229376.3	0	0	0	0	8	15	18	20	0	0	2
ENSG00000228327.3	0	0	6	10	217	179	257	198	196	231	110
ENSG00000223181.1	0	0	0	0	3	7	4	12	0	0	0
ENSG00000229905.1	0	0	0	0	4	2	2	1	0	0	0
ENSG00000237491.10	11	4	2	2	614	753	720	779	43	71	34
ENSG00000285268.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092.7	1	0	0	2	73	99	132	119	8	4	7
ENSG00000177757.2	2	0	2	0	102	126	102	126	14	25	13
ENSG00000228794.9	30	6	14	2	651	969	1050	1147	749	886	572
ENSG00000225880.5	1	0	0	0	74	74	92	109	40	35	48
ENSG00000230368.2	0	0	0	0	33	102	189	245	0	0	0
ENSG00000234711.1	0	0	0	0	6	16	35	71	4	0	0
ENSG00000283040.1	0	0	0	0	0	1	2	3	0	0	0
ENSG00000272438.1	0	0	0	0	0	0	0	1	0	1	0
ENSG00000230699.2	0	0	0	0	2	4	4	8	2	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	4	16	6	64	0	2	0
ENSG00000187634.12	0	0	0	0	5	26	18	100	2	0	0
ENSG00000188976.11	6	0	0	0	1084	1580	1668	1561	4561	3624	3793
ENSG00000187961.14	0	0	2	0	66	147	112	173	864	613	635
ENSG00000187583.11	0	0	0	2	21	99	61	121	57	46	35
ENSG00000187642.9	0	0	0	0	4	19	10	13	0	0	0
ENSG00000272512.1	0	0	0	0	32	49	48	72	0	4	4
ENSG00000188290.10	0	0	0	2	137	190	197	173	8	26	2
ENSG00000187608.10	219	82	443	182	325	193	360	222	4950	5221	3798
ENSG00000231702.2	0	0	0	0	1	1	0	2	0	0	0
ENSG00000224969.1	0	0	0	0	2	9	2	7	0	1	0
ENSG00000188157.15	2	2	0	0	715	1685	1272	1893	7029	7843	4614
ENSG00000242590.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.10	2	0	0	0	54	38	35	20	135	99	68
ENSG00000273443.1	0	0	0	0	2	0	0	0	10	12	10
ENSG00000237330.3	0	2	0	0	30	25	39	20	0	0	0
ENSG00000131591.17	2	0	0	0	332	459	436	455	635	633	466
ENSG00000285812.1	0	0	0	0	67	85	111	67	4	0	4
ENSG00000223823.1	0	0	0	0	8	25	16	9	0	0	0
ENSG00000207730.3	0	0	0	0	9	9	10	8	0	0	0
ENSG00000207607.3	0	0	0	0	6	15	20	16	0	0	0
ENSG00000198976.1	0	0	0	0	16	43	33	35	1	0	0
ENSG00000272141.1	0	0	0	0	190	316	314	262	16	6	0
ENSG00000205231.1	0	0	0	0	294	231	195	150	34	5	10
ENSG00000162571.13	0	0	0	2	1145	804	721	507	121	42	88
ENSG00000186891.14	0	0	0	0	3	147	76	86	72	32	97
ENSG00000186827.11	0	0	0	0	4	15	10	26	118	23	62
ENSG00000078808.17	6	8	8	10	1382	1876	1710	1674	11214	9806	9574
ENSG00000176022.7	6	4	2	2	132	225	222	291	1361	896	1358
ENSG00000184163.3	0	0	0	0	3	5	11	12	4	21	2
ENSG00000260179.1	0	0	0	0	4	7	4	17	6	6	4
ENSG00000160087.20	14	0	23	6	501	652	628	705	2490	2049	2149
ENSG00000230415.1	0	0	0	0	10	26	13	29	61	32	44
ENSG00000162572.21	4	0	2	0	45	102	82	121	314	270	266
ENSG00000131584.19	2	7	0	0	293	1078	776	1140	3433	2971	2280
ENSG00000278073.1	0	0	0	0	0	1	0	2	1	0	1
ENSG00000169972.12	5	4	2	2	193	248	268	222	392	293	346
ENSG00000127054.20	21	2	11	4	1813	2257	2316	2651	4439	3820	3694
ENSG00000283712.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	3	2	2	0	54	101	120	151	155	149	130
ENSG00000224051.7	4	0	0	2	203	236	252	265	858	780	701
ENSG00000169962.5	0	0	0	0	38	82	56	133	32	25	26
ENSG00000107404.20	2	2	4	0	453	635	556	646	1588	1222	1194
ENSG00000284372.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576.16	0	0	0	0	64	353	267	752	398	260	267
ENSG00000175756.13	24	6	48	12	719	752	821	545	2234	1793	1921
ENSG00000223663.2	0	0	0	0	2	0	0	9	1	0	2
ENSG00000221978.12	84	48	29	12	6514	9460	8973	10870	9331	9424	8476
ENSG00000224870.7	0	0	4	0	476	614	587	553	975	888	875
ENSG00000242485.6	53	28	46	11	1305	1285	1500	1074	2948	2771	2758
ENSG00000264293.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455.1	8	0	0	0	76	116	129	161	57	88	61
ENSG00000235098.8	12	4	2	0	1387	1025	1424	946	63	28	15
ENSG00000225905.1	0	0	0	0	25	26	19	17	1	0	0
ENSG00000205116.3	0	0	0	0	0	0	0	2	0	0	0
ENSG00000225285.1	0	0	0	0	40	33	26	42	0	1	0
ENSG00000179403.12	2	0	2	0	147	274	262	548	4	2	8
ENSG00000215915.10	0	0	0	0	26	46	77	120	36	13	56
ENSG00000160072.20	2	2	2	2	399	766	662	998	1304	1319	1194
ENSG00000284740.1	0	0	0	0	6	4	14	2	18	13	16
ENSG00000197785.14	4	0	0	0	314	327	338	262	867	716	644
ENSG00000205090.9	0	0	0	0	0	8	1	23	19	28	26
ENSG00000160075.12	124	39	120	36	2206	2283	2424	2059	7084	6535	7297
ENSG00000215014.5	0	2	4	4	81	81	92	49	95	228	179
ENSG00000274481.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.4	12	6	4	0	2	13	22	14	864	696	640
ENSG00000286989.1	0	0	0	0	8	16	8	21	187	149	159
ENSG00000272106.1	16	0	4	0	316	224	288	245	251	266	229
ENSG00000197530.12	2	0	0	0	342	583	448	827	1550	1184	1260
ENSG00000189409.14	0	0	0	0	0	1	0	3	0	0	2
ENSG00000248333.8	10	11	5	8	413	536	560	644	2130	1856	1803
