Gid	N1	N2	N3	P1	P2	P3
ENSG00000223972.5	1083	22	644	60	157	361
ENSG00000227232.5	5788	3299	2585	3923	6418	6166
ENSG00000278267.1	94	31	17	73	119	132
ENSG00000243485.5	8	2	2	2	12	18
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	8	0	0	17	1
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0
ENSG00000238009.6	491	77	109	260	291	334
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	2319	279	413	1204	1129	1115
ENSG00000268903.1	27986	1742	5105	10625	10752	9896
ENSG00000269981.1	9663	406	1468	5489	4938	4809
ENSG00000239906.1	5207	363	819	3837	2631	2494
ENSG00000241860.7	51515	2284	5997	37304	26287	34077
ENSG00000222623.1	131	11	57	127	94	49
ENSG00000241599.1	198	25	36	132	127	114
ENSG00000279928.2	398	2	250	12	102	47
ENSG00000279457.4	6502	4077	2770	4948	8114	8053
ENSG00000273874.1	102	7	4	41	104	88
ENSG00000228463.10	1171	304	242	498	649	749
ENSG00000286448.1	0	0	0	0	0	0
ENSG00000236679.2	123	6	24	83	82	91
ENSG00000236601.2	0	0	0	0	0	1
ENSG00000237094.12	62422	3348	8808	38321	36259	39884
ENSG00000269732.1	0	0	0	0	0	4
ENSG00000284733.1	4	4	0	2	0	10
ENSG00000233653.3	1087	147	191	448	367	501
ENSG00000250575.1	32648	1864	4712	13004	11884	13075
ENSG00000278757.1	76	7	20	106	43	68
ENSG00000230021.10	9782	642	1660	4471	6212	6088
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	6833	1689	2830	1145	3630	6472
ENSG00000225630.1	78966	35530	46277	34151	63804	80224
ENSG00000237973.1	141337	33467	46246	64572	114123	221428
ENSG00000278791.1	0	0	0	0	0	0
ENSG00000229344.1	1188	134	259	183	446	1223
ENSG00000240409.1	60	0	14	11	12	15
ENSG00000248527.1	45279	23476	32749	20022	42414	53864
ENSG00000198744.5	1449	467	422	338	883	2395
ENSG00000268663.1	0	0	0	0	0	4
ENSG00000284662.1	4	4	0	2	0	10
ENSG00000229376.3	1155	126	182	436	426	476
ENSG00000228327.3	89645	6023	12913	45164	43600	46188
ENSG00000223181.1	3	1	0	2	2	1
ENSG00000229905.1	31	8	11	44	16	26
ENSG00000237491.10	1276	394	525	535	1015	858
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000230092.7	97	18	29	58	132	78
ENSG00000177757.2	168	39	52	138	198	157
ENSG00000228794.9	1704	1268	703	1617	3149	1765
ENSG00000225880.5	366	77	119	201	361	274
ENSG00000230368.2	85	20	26	57	65	74
ENSG00000234711.1	0	0	0	6	0	0
ENSG00000283040.1	0	0	0	1	1	2
ENSG00000272438.1	0	0	0	7	2	7
ENSG00000230699.2	2	2	3	385	1000	52
ENSG00000241180.1	0	0	0	0	0	2
ENSG00000223764.2	2	0	0	18	14	45
ENSG00000187634.12	10	26	24	15	36	38
ENSG00000188976.11	4511	2892	2652	3910	5992	6868
ENSG00000187961.14	1799	999	766	863	1943	1806
ENSG00000187583.11	66	27	36	131	195	210
ENSG00000187642.9	0	0	0	2	8	11
ENSG00000272512.1	46	22	12	26	58	23
ENSG00000188290.10	398	130	198	80	199	112
ENSG00000187608.10	2064	836	805	6465	2279	887
ENSG00000231702.2	0	0	0	0	0	0
ENSG00000224969.1	7	10	9	2	7	1
ENSG00000188157.15	981	659	484	2444	2413	1774
ENSG00000242590.1	0	0	0	0	0	0
ENSG00000217801.10	286	214	70	100	483	168
ENSG00000273443.1	3	18	2	0	49	1
ENSG00000237330.3	14	2	2	5	6	15
ENSG00000131591.17	1842	797	693	504	2133	1801
ENSG00000285812.1	24	61	31	31	63	42
ENSG00000223823.1	11	5	1	0	13	14
ENSG00000207730.3	1	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	1	0
ENSG00000198976.1	3	0	0	0	0	0
ENSG00000272141.1	2	0	2	0	2	0
ENSG00000205231.1	8	6	4	2	5	4
ENSG00000162571.13	30	5	18	1	22	15
ENSG00000186891.14	655	172	413	77	379	244
ENSG00000186827.11	418	194	216	76	749	193
ENSG00000078808.17	11088	4759	5211	8493	11632	13854
ENSG00000176022.7	896	636	666	898	1412	1696
ENSG00000184163.3	100	53	69	32	91	110
ENSG00000260179.1	98	38	28	72	69	102
ENSG00000160087.20	4531	2057	2223	4174	5233	6591
ENSG00000230415.1	129	50	40	55	152	104
ENSG00000162572.21	965	515	331	268	1018	733
ENSG00000131584.19	10351	3685	4218	6196	12105	14779
ENSG00000278073.1	0	0	0	0	1	0
ENSG00000169972.12	500	224	202	243	794	832
ENSG00000127054.20	11577	5006	4590	6359	11905	13284
ENSG00000283712.1	0	0	0	0	0	0
ENSG00000240731.1	522	234	193	337	569	629
ENSG00000224051.7	1070	749	628	727	1620	1376
ENSG00000169962.5	186	135	48	86	369	363
ENSG00000107404.20	3122	1724	1690	1292	3152	2842
ENSG00000284372.1	0	0	0	0	0	0
ENSG00000162576.16	1044	547	332	273	715	1176
ENSG00000175756.13	3401	1756	1582	3500	4089	3867
ENSG00000223663.2	0	0	0	0	1	0
ENSG00000221978.12	27620	12647	10304	11985	21504	23973
ENSG00000224870.7	1640	1079	895	965	1606	1638
ENSG00000242485.6	2406	1398	1426	1938	2978	3427
ENSG00000264293.2	0	0	0	0	0	0
ENSG00000272455.1	129	69	52	71	175	176
ENSG00000235098.8	6	2	4	0	10	3
ENSG00000225905.1	1	0	0	0	0	0
ENSG00000205116.3	0	0	0	0	0	2
ENSG00000225285.1	0	0	0	0	0	0
ENSG00000179403.12	2	0	2	0	10	4
ENSG00000215915.10	196	111	73	109	215	225
ENSG00000160072.20	4709	2828	2546	1989	4714	4608
ENSG00000284740.1	18	11	8	7	23	19
ENSG00000197785.14	1744	1146	1091	1422	2516	2819
ENSG00000205090.9	36	36	10	20	21	17
ENSG00000160075.12	10275	5160	5007	8661	10478	12954
ENSG00000215014.5	218	84	133	216	187	254
ENSG00000274481.1	0	0	0	0	0	0
ENSG00000228594.4	326	166	310	250	354	372
ENSG00000286989.1	196	71	105	111	192	152
ENSG00000272106.1	1001	482	355	284	562	586
ENSG00000197530.12	13317	5642	5988	2902	6374	7375
ENSG00000189409.14	1524	740	706	270	549	640
ENSG00000248333.8	20190	8700	8116	12188	12897	15842
ENSG00000272004.1	5	14	7	9	29	14
ENSG00000189339.12	22353	8111	7885	10382	17171	18511
ENSG00000269737.2	994	400	398	476	838	1028
ENSG00000215914.4	1159	452	480	215	342	445
ENSG00000008128.23	3326	781	849	1719	2172	1903
ENSG00000268575.1	774	276	351	384	688	581
ENSG00000227775.3	80	52	48	54	97	61
ENSG00000215790.7	8996	3068	2905	4135	7287	6493
ENSG00000008130.15	35323	4319	8570	27920	25104	36238
ENSG00000078369.18	44137	14273	18488	39091	41718	53166
ENSG00000231050.1	6	8	9	22	19	18
ENSG00000169885.10	60	36	6	19	52	72
ENSG00000178821.13	6	2	2	2	2	6
ENSG00000142609.18	2	0	2	1	0	5
ENSG00000233542.2	0	0	0	0	0	0
ENSG00000187730.9	4	0	2	6	1	8
ENSG00000226969.1	0	2	0	0	0	2
ENSG00000067606.17	797	592	389	270	647	488
ENSG00000271806.1	57	46	42	33	38	37
ENSG00000182873.5	553	346	206	240	452	345
ENSG00000162585.17	3100	1434	1098	1884	3245	3169
ENSG00000234396.3	0	0	3	3	1	0
ENSG00000157933.10	9620	4583	5022	3147	6689	5511
ENSG00000287356.1	92	31	37	19	58	62
ENSG00000116151.14	544	211	195	211	493	451
ENSG00000272161.1	8	2	0	6	5	5
ENSG00000269896.2	175	76	71	24	84	97
ENSG00000272420.1	23	27	10	11	34	20
ENSG00000157916.20	9545	3651	3237	6781	9271	11550
ENSG00000157911.10	359	238	220	544	620	640
ENSG00000149527.18	3416	1999	1380	768	2646	1972
ENSG00000224387.1	21	15	9	1	14	27
